time,open,high,low,close,volume
2024-01-08T00:00:00+00:00,1960.000,1960.178,1959.733,1959.910,113.2
2024-01-08T00:01:00+00:00,1959.910,1960.193,1959.518,1959.801,113.6
2024-01-08T00:02:00+00:00,1959.801,1960.348,1959.645,1960.192,151.1
2024-01-08T00:03:00+00:00,1960.192,1960.430,1960.043,1960.281,125.6
2024-01-08T00:04:00+00:00,1960.281,1960.545,1959.437,1959.701,135.2
2024-01-08T00:05:00+00:00,1959.701,1960.352,1959.228,1959.879,67.7
2024-01-08T00:06:00+00:00,1959.879,1960.046,1959.405,1959.572,129.2
2024-01-08T00:07:00+00:00,1959.572,1959.753,1959.381,1959.562,100.7
2024-01-08T00:08:00+00:00,1959.562,1959.824,1959.413,1959.676,100.2
2024-01-08T00:09:00+00:00,1959.676,1960.473,1959.487,1960.284,155.9
2024-01-08T00:10:00+00:00,1960.284,1960.519,1959.839,1960.074,109.7
2024-01-08T00:11:00+00:00,1960.074,1960.282,1959.837,1960.045,127.5
2024-01-08T00:12:00+00:00,1960.045,1960.334,1959.608,1959.898,104.4
2024-01-08T00:13:00+00:00,1959.898,1960.587,1959.646,1960.335,127.3
2024-01-08T00:14:00+00:00,1960.335,1960.917,1959.912,1960.495,121.5
2024-01-08T00:15:00+00:00,1960.495,1961.517,1959.941,1960.963,110.4
2024-01-08T00:16:00+00:00,1960.963,1961.217,1960.684,1960.938,134.9
2024-01-08T00:17:00+00:00,1960.938,1961.354,1960.513,1960.929,144.8
2024-01-08T00:18:00+00:00,1960.929,1961.463,1960.642,1961.177,163.2
2024-01-08T00:19:00+00:00,1961.177,1961.397,1961.097,1961.318,81.0
2024-01-08T00:20:00+00:00,1961.318,1961.751,1961.115,1961.548,106.4
2024-01-08T00:21:00+00:00,1961.548,1961.840,1960.829,1961.121,104.1
2024-01-08T00:22:00+00:00,1961.121,1962.146,1960.563,1961.588,76.3
2024-01-08T00:23:00+00:00,1961.588,1962.100,1961.177,1961.689,137.4
2024-01-08T00:24:00+00:00,1961.689,1962.369,1960.362,1961.042,130.7
2024-01-08T00:25:00+00:00,1961.042,1961.372,1960.473,1960.803,149.3
2024-01-08T00:26:00+00:00,1960.803,1961.297,1960.713,1961.207,127.4
2024-01-08T00:27:00+00:00,1961.207,1961.828,1960.759,1961.379,138.6
2024-01-08T00:28:00+00:00,1961.379,1961.768,1961.192,1961.581,73.0
2024-01-08T00:29:00+00:00,1961.581,1962.340,1961.293,1962.051,135.9
2024-01-08T00:30:00+00:00,1962.051,1962.260,1961.174,1961.382,145.3
2024-01-08T00:31:00+00:00,1961.382,1961.478,1960.675,1960.771,150.6
2024-01-08T00:32:00+00:00,1960.771,1961.223,1959.883,1960.335,136.6
2024-01-08T00:33:00+00:00,1960.335,1960.466,1960.175,1960.306,139.5
